index,date,name,length_meters,beam_meters,draught_meters,year_built,max_speed_knots,service_speed_knots,engine_power_kW,year_in_service
1,1/30/01,MV Vistamar,NA,16.8,NA,1989,16.5,NA,NA,2001
3,11/21/93,MV World Discoverer ,NA,15.12,4.4,1974,16.5,NA,NA,1993
4,12/3/93,M/V Kapitan Khlebnikov,NA,26.74,8.5,1981,18,NA,16200,1993
5,12/20/93,Marco Polo,NA,23.55,8.2,1965,20.5,NA,NA,1993
7,12/8/93,R/V Akademik Ioffe,NA,18.22,5.9,1989,15,13.5,10440,1993
10,12/10/94,M/V Professor Molchanov,NA,12.8,4.5,1983,12.5,NA,NA,1994
11,12/30/94,Alla Tarasova ,NA,16.31,4.72,1975,12,NA,NA,1994
12,12/14/93,Kapitan Khlebnikov,NA,26.74,8.5,1981,18,NA,17897,1993
13,11/18/94,Kapitan Dranitsyn,NA,26.54,8.5,1980,19,NA,18240,1994
14,1/18/94,M/S Explorer ,NA,14,4.45,1969,12.5,NA,NA,1994
16,12/28/94,Akademik Sergey Vavilov,117.17,18.22,5.9,1988,16,13,5152,1994
17,1/7/94,MS Bermen ,111.51,17,4.8,1990,16,NA,4854,1994
18,12/16/94,Khromov,71.06,12.82,4.5,1983,13.2,9.4,2294,1994
22,10/1/20,Australis,23,6.3,4.8,NA,8.5,7.4,130.6,2020
23,11/24/20,Spirit of Sydney,18,5,NA,1986,8.8,8.1,96.6,2020
24,12/20/20,MY Explorer,67,11,3.1,1980,10.1,7.8,NA,2020
26,NA,OPV Marinero Fuentealba,80.6,13,4.5,2014,21,NA,8040,NA
27,1/5/21,ORIONDE,13,4,NA,NA,6.9,4.7,NA,2021
28,1/6/21,MAEWAN IV,11.28,NA,NA,1979,6.7,5.8,NA,2021
32,12/26/20,CODE ROUGE,12.19,4,NA,1997,4,NA,19.5,2020
33,1/1/21,ZEPHYROS,15,4,NA,NA,6.8,5.7,NA,2021
34,12/19/20,National Geographic Orion,102.7,14.25,3.8,2003,15.8,12.5,2400,2020
35,12/9/20,National Geographic Endurance,124.4,21,5.3,2020,17.3,NA,NA,2020
36,11/20/20,National Geographic Explorer,112,16.51,4.74,1982,17.5,14,4708,2020
43,10/23/19,MV Greg Mortimer,104.4,18.4,5.3,2019,16.5,12,4321,2019
45,NA,VAIHERE,6.2,NA,NA,1989,8.4,7.9,220.6,NA
46,NA,MS Expedition,105,18.9,4.71,1972,17,14.5,NA,NA
47,NA,ATF Lautaro,58.3,NA,5,1973,12,NA,2002.95,NA
48,NA,LSDH Sargento Aldea,168,NA,5.2,1986,21,NA,NA,NA
49,NA,AP Aquiles,103,NA,5.5,1988,15,NA,5369.039,NA
51,NA,MS Hanseatic Nature,138.7,22,5.7,2019,16,NA,NA,NA
52,NA,MS Bremen,111.51,17,4.8,1990,16,NA,4854,NA
53,12/16/19,MS Hanseatic Inspiration,138,22,5.6,NA,16,NA,NA,2019
54,12/14/19,MS Hamburg,144,21.5,5.15,1997,19.5,18.5,10560,2019
56,1/6/20,Esperanza,72.3,14.3,4.7,2002,16,NA,4381.7,2020
57,1/6/20,Arctic Sunrise,49.5,11.55,5.32,1975,13,NA,1619,2020
58,11/3/19,Hondius,107.6,17.6,5.3,2019,15,NA,NA,2019
59,11/10/19,Plancius,89,14.5,5,1976,12,10.5,29.8,2019
60,12/15/19,Europa,39.8,7.45,3.8,1994,14,NA,562,2019
61,1/4/20,Tecla,27.48,NA,NA,1915,6.6,5.6,NA,2020
62,1/11/20,Spirit of Enderby,72,12.8,4.5,2004,12,10,2294,2020
63,12/16/19,Akademik Shokalskiy,71.06,12.82,4.5,1982,12,10,2294,2019
64,10/27/19,Midnatsol,135.75,21.5,5.1,2003,15,NA,NA,2019
65,10/31/19,Fram,114,20.2,NA,2007,13,NA,NA,2019
66,10/26/19,MS Roald Amundsen,140,23.6,5.3,2019,17,15,3600,2019
67,10/21/19,Sea Spirit,90.6,15.3,NA,1991,15,NA,NA,2019
69,NA,s/y Admiral Bellingshausen,33.15,7.7,2.9,1986,10.5,8.7,NA,NA
70,NA,L'Austral,142,18,4.7,2010,16,14,6400,NA
73,1/7/20,Oceans Seven,42,8.4,2.6,2012,14,11,NA,2020
74,12/10/19,Braveheart,36,9.5,NA,1995,10,NA,894.83,2019
75,2/3/20,RRS Discovery,99.7,18,6.6,2011,15,12,7080,2020
76,NA,Island Sky,91,15,4.3,1992,13.4,12,3520,NA
77,11/30/19,Pelagic Australis,22.5,5.9,3.9,1987,10,NA,236,2019
78,12/9/19,Le Lyrial,142.04,17.98,4.66,2015,16,16,4600,2019
79,10/25/19,Ocean Atlantic,140,21,5.8,2010,15,12,14400,2019
80,12/3/19,Malta,88,15,3.66,1990,15,NA,3514,2019
81,12/18/19,Zaandam,202,32,8.1,2000,23,NA,43200,2019
82,1/24/20,Amsterdam,237.74,32.25,NA,2010,23.9,NA,NA,2020
83,1/5/20,Volendam,237,32.3,8.1,1999,23,20,43200,2020
84,12/19/19,Hebridean Sky,90,15,NA,1991,17,16,3520,2019
85,12/20/19,Coral Princess,294,32,8.2,2002,24,22,57400,2019
87,11/2/19,Ocean Adventurer,101.1,16.2,4.5,1976,17.5,12,5400,2019
88,11/8/19,Ocean Diamond,124,16,4.9,1974,16,15.5,NA,2019
89,11/6/19,Ocean Endeavour,137.61,21.01,5.6,1982,15,13,12800,2019
90,12/20/19,MY Hans Hansson,27,7,3.4,1960,11,8,119,2019
91,12/1/19,S/V Ocean Tramp,19.55,5.35,2.2,1997,8,7,167,2019
92,1/19/20,Celebrity Eclipse,317.3,36.88,8.3,2006,24,NA,67200,2020
93,1/5/20,Azamara Pursuit,181,25,5.95,2000,18,NA,13500,2020
94,11/26/19,Scenic Eclipse,168,21.5,NA,2018,19.5,17,NA,2019
95,11/28/19,Seabourn Quest,198.15,25.6,6.5,2011,25.5,19,23040,2019
96,11/24/19,Silver Cloud,157,22,NA,1994,20.5,17.5,10600,2019
110,1/7/20,Velero Oce<e1>nico Galileo Navaltec 38,11.5,3.75,NA,NA,8.6,NA,NA,2020
2,1/4/21,LE BOULARD,14,4,NA,1975,9.2,NA,39.5,2021
31,12/15/20,MIO PALMO,16,4.75,NA,1997,9.5,NA,44.7,2020
6,1/1/20,ANTIPODE,16,4.06,2.03,1996,7.7,NA,44.13,2020
71,1/4/21,S/Y Sarah W. Vorwerk,16.46,NA,NA,1988,9.7,NA,NA,2021
8,1/20/20,Ypake II,18,NA,4,2001,8.9,5,581.4,2020
9,12/17/19,S/Y Santa Maria Australis,20.2,5.5,2.3,1998,9.2,NA,156,2019
101,12/27/19,Archimedes,67.75,12.5,3.5,NA,12.8,NA,NA,2019
111,12/16/19,MY Legend,77.4,NA,NA,2016,13.2,NA,NA,2019
121,1/13/20,MV Ortelius,92,18,5.6,NA,16,NA,NA,2020
131,12/5/19,Silver Explorer,107.9,15.8,4.38,1989,15.9,14,4500,2019
141,11/4/19,World Explorer,126,19,4.7,2019,17.1,16,NA,2019
15,NA,Silver Cloud,157,22,NA,NA,17.9,18,NA,NA
161,12/31/20,Seven Seas Voyager,206.5,28.83,7.05,NA,19.2,20,23040,2020
171,1/16/21,Norwegian Star,294.13,32.2,8.63,2001,27,25,58800,2021
181,12/10/93,MV Columbus Caravelle,NA,NA,NA,1990,NA,NA,NA,1993
19,12/25/93,"M?V ""Hanseatic""",NA,NA,NA,NA,NA,NA,NA,1993
20,12/15/94,Livonia,NA,NA,NA,NA,NA,NA,NA,1994
21,12/2/94,Livonia,NA,NA,NA,NA,NA,NA,NA,1994
221,1/10/94,"M/V ""Hanseatic""",NA,17,4.88,1993,17.8,16,5880,1994
231,2/9/94,Explorer,NA,NA,NA,NA,NA,NA,NA,1994
241,NA,,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,,NA,NA,NA,NA,NA,NA,NA,NA
261,12/21/20,MY Voyager,NA,NA,NA,NA,NA,NA,NA,2020
271,12/15/20,AQUARIUS,NA,NA,NA,NA,NA,NA,NA,2020
281,1/11/19,BM Ushuaia,NA,NA,5.51,1970,13.4,12,NA,2019
